"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Assam State Warehousing Corporation","ASWC Bongaigaon Centre","6753933","Doloigaon,","Bongaigaon","ASSAM","23467","10-Jul-2023","09-Jul-2028","9864061812","Active",""
"Assam State Warehousing Corporation","ASWC Goalpara Centre","6692826","Bahalukdubi,","Goalpara","ASSAM","8111","07-Mar-2023","06-Mar-2028","9435036823","Active",""
"Assam State Warehousing Corporation","ASWC Haiborgaon Centre","6754113","AT road, Khutikatia","Nagaon","ASSAM","13118","11-Jul-2023","10-Jul-2028","9435112834","Active",""
"Central Warehousing Corporation","AMINGAON-III","6647465","PLOT NO. 17, BRAHMAPUTRA INDUSTRIAL PARK, AMINGAON, GAURIPUR","Kamrup","ASSAM","5027","31-Oct-2022","30-Oct-2025","7987883660","Active",""
"Central Warehousing Corporation","Central Warehouse Jorhat-I","4511643","Jorhat-I,","Jorhat","ASSAM","10500","09-Apr-2021","08-Apr-2026","8837212057","Active",""
"Central Warehousing Corporation","Central Warehouse Dhubri","4271653","R.K. MISSION ROAD, BIDYAPARA, DHUBRI, PIN- 783324,","Dhubri","ASSAM","11455","06-Apr-2021","05-Apr-2026","8837212057","Active",""
"GO GREEN WAREHOUSES PVT LTD","GOGREEN WAREHOUSES PRIVATE LIMITED C/O ASSAM STATE WAREHOUSING CORPORATION","6845911","KHARUPETIA NEAR POLICE STATION, DARRANG, ASSAM, PIN-784115.","Darrang","ASSAM","569","25-Jan-2024","24-Jul-2025","9351132273","Inactive","EXPIRED INSURANCE"
"Leap Agri Logistics Guwahati pvt.ltd","LEAP AGRI LOGISTICS (GUWAHATI) PVT LTD,","6897037","Changsari FCI godown, Old route no NH31,,","Kamrup","ASSAM","50000","29-Mar-2024","28-Mar-2029","9154078389","Active",""
"Mahabir Cold Storage Private Limited","MAHABIR COLD STORAGE (P) LTD","7001704","Pukhuri road, Gandhi road, Tinsukia assam,","Tinsukia","ASSAM","7455","09-Dec-2024","08-Dec-2029","8800995050","Active",""
"Pradeep Khadria","M/S. SRI SURATRAM KHADRIA & SONS","6832141","Khadria Building, Ward No. 2,, A.T. Road, Dergaon.","Golaghat","ASSAM","2500","05-Jan-2024","04-Jan-2029","9435052210","Active",""
"Rohit Agarwal","ITACHALI GODOWN","6978753","A.T ROAD, ITACHALI, NAGAON,","Nagaon","ASSAM","5852","23-Sep-2024","22-Sep-2029","9435063147","Active",""
"UFM INDUSTRIES LTD","UFM Industries Ltd","6841415","dumardaha part 4, ufm industries ltd","Dhubri","ASSAM","4760","19-Jan-2024","18-Oct-2028","9864372299","Active",""
