"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"AAR KAY LOGISTICS & WAREHOUSING PRIVATE LIMITED","AAR KAY LOGISTICS & WAREHOUSING PRIVATE LIMITED","6753750","DHAMTAN SAHIB,","Jind","HARYANA","14000","10-Jul-2023","09-Jul-2028","9728093203","Active",""
"ANITA GOYAL","ANITA GOYAL","7021868","VILLAGE BISHANPURA, ROHTAK ROAD","Jind","HARYANA","24210","17-Feb-2025","16-Feb-2030","8168006269","Active",""
"Asha Rani","kanica gupta","6638019","Nariana to sagga road Village narina,Dist Karnal,","Karnal","HARYANA","4999","03-Oct-2022","02-Oct-2027","9991116911","Active",""
"Asha Rani","Asha rani","6637474","Karnal to kaithal road,village kuchpura,tehshil Nissing district karnal 132024, district karnal","Karnal","HARYANA","4872","28-Sep-2022","27-Sep-2025","9991116911","Active",""
"ASHWANI SHARMA","ASHWANI C/O MARKET COMMITTEE MADLAUDA","7022403","V P O MADLAUDA,","Panipat","HARYANA","5754","19-Feb-2025","18-Feb-2030","9253331702","Active",""
"AWLA INFRA","AWLA INFRA PEG NEEMLA","6881643","Hanumangarh Road Village Neemla, Teh. Ellenabad ,Sirsa (HR)","Sirsa","HARYANA","180000","08-Mar-2024","07-Mar-2029","6284040231","Active",""
"Central Warehousing Corporation","CW, Uklana","4891647","Near Grain Market, HSAMB Godow,, Sirsa Road, Uklana","Hisar","HARYANA","5000","27-Apr-2021","26-Apr-2026","9467345599","Active",""
"Central Warehousing Corporation","CW, Kaithal","2931668","Opp. Sunshine School, Jind Road,","Kaithal","HARYANA","25700","26-Feb-2021","25-Feb-2026","8448623533","Active",""
"Central Warehousing Corporation","CW, Jagadhri","4211652","Plot no. 08 to 11 and 30 to 33, HSIDC Complex Manakpur","Yamunanagar","HARYANA","35273","31-Mar-2021","30-Mar-2026","9416907550","Active",""
"Central Warehousing Corporation","CW, Fatehabad","4611662","HSAMB, Opp New Grain Market, Near SBI","Fatehabad","HARYANA","4200","15-Apr-2021","14-Apr-2026","7986605874","Active",""
"Central Warehousing Corporation","Tohana","4851645","HSIIDC Complex, Opp. Railway Station,","Fatehabad","HARYANA","24880","23-Apr-2021","22-Apr-2026","8059321405","Active",""
"Central Warehousing Corporation","CW, Gohana","4071642","Jind Road, Near Kandhran Mod, Gohana","Sonipat","HARYANA","9915","30-Mar-2021","29-Mar-2026","9896097719","Active",""
"Central Warehousing Corporation","CW KARNAL-III","6750244","CW,KARNAL-III, Near New Grain Market,Bazida Jattan Road,","Karnal","HARYANA","84728","30-Jun-2023","29-Jun-2028","9636717778","Active",""
"Central Warehousing Corporation","CW, Ladwa","4851665","Hinori Road, Ladwa,","Kurukshetra","HARYANA","26834","23-Apr-2021","22-Apr-2026","8708241717","Active",""
"Central Warehousing Corporation","Central Warehouse Indri","6763387","Near New Grain Market,","Karnal","HARYANA","18502","27-Jul-2023","26-Jul-2028","9467985550","Active",""
"Central Warehousing Corporation","CW, Rohtak","5671641","HSAMB Complex,","Rohtak","HARYANA","4900","22-Jun-2021","21-Jun-2026","9812115689","Active",""
"Central Warehousing Corporation","CW, Naraingarh","4091642","Near Govt. College, Kullarpur ROad,","Ambala","HARYANA","30000","30-Mar-2021","29-Mar-2026","9463310213","Active",""
"Central Warehousing Corporation","CW Karnal-I","6745384","Matak Majri, Near Old Grain Market","Karnal","HARYANA","14434","27-Jun-2023","26-Jun-2028","7219075283","Active",""
"Central Warehousing Corporation","CW, Bhiwani","5051665","Plot No.75, Sector-21, NCCF Dal Mills, Industrial Area","Bhiwani","HARYANA","9552","03-May-2021","02-May-2026","9992977888","Active",""
"Central Warehousing Corporation","CW HISAR","6746192","SIRSA ROAD,","Hisar","HARYANA","28400","27-Jun-2023","26-Jun-2028","9998402282","Active",""
"Central Warehousing Corporation","CW, Narwana","5031641","New Anaj Mandi, narwana,","Jind","HARYANA","6000","03-May-2021","02-May-2026","9779826524","Active",""
"Central Warehousing Corporation","CW ASSANDH","6794887","Sirsal Road, Near Grain Market","Karnal","HARYANA","28116","27-Oct-2023","26-Oct-2028","9416737901","Active",""
"Central Warehousing Corporation","CW CHARKHI DADRI","6748719","Loharu Road,Near Bus Stand, MC Colony,Charkhi Dadri,","Bhiwani","HARYANA","15800","30-Jun-2023","29-Dec-2027","8683975534","Active",""
"Central Warehousing Corporation","CW, Barhi","4431657","Plot No. 475-478, HSIDC Complex GT Road Barhi","Sonipat","HARYANA","26600","07-Apr-2021","06-Apr-2026","9416014478","Active",""
"Central Warehousing Corporation","CW, Sirsa","4991645","Plot no.7-22, HSIIDC Complex,, Near Delhi Pull, Hisar Road","Sirsa","HARYANA","23700","29-Apr-2021","28-Apr-2026","9896263728","Active",""
"Central Warehousing Corporation","CW SONIPAT","6763478","Rohtak Road Near Kalupur Chungi,","Sonipat","HARYANA","19410","27-Jul-2023","26-Jul-2028","7988284008","Active",""
"Central Warehousing Corporation","CW, Bibipur","6131640","Bhiwani-Jind Road, Bibipur,","Jind","HARYANA","14800","22-Jul-2021","21-Jul-2026","9896097719","Active",""
"Central Warehousing Corporation","CW, Mandi Adampur","6311645","Mandi Adampur,","Hisar","HARYANA","17250","30-Jul-2021","29-Jul-2026","7015949678","Active",""
"Haryana State Cooperative supply and marketing federation limited","Hafed Storage Complex Near Anaj Mandi Hansi","6997472","Jind Road Hansi, Behind BDO Office","Hisar","HARYANA","17500","25-Nov-2024","24-Aug-2029","9878513934","Active",""
"Haryana State Cooperative supply and marketing federation limited","Hafed Storage Complex Sainipura","7008188","VPO Sanipura, Hansi","Hisar","HARYANA","8000","06-Jan-2025","05-Jan-2030","9878513934","Active",""
