"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"BIHAR STATE WAREHOUSING CORPORATION","BSWC GIRIDIH","6605976","BAZAR SAMITI CAMPUS, PACHAMBA","Giridih","JHARKHAND","2173","22-Jul-2022","21-Jul-2027","7979003876","Inactive","EFFECTIVE CONTROL EXPIRED"
"BIHAR STATE WAREHOUSING CORPORATION","BSWC PAKUR","6600845","BAZAR SAMITI CAMPUS, D.C MORE PAKUR","Pakur","JHARKHAND","4457","14-Jul-2022","13-Jul-2027","8789097886","Inactive","EFFECTIVE CONTROL EXPIRED"
"BIHAR STATE WAREHOUSING CORPORATION","BSWC GODDA","6630271","SARKANDA CHOWK PATHRA, ROAD BAZAR SAMITI","Godda","JHARKHAND","4768","15-Sep-2022","14-Sep-2027","9304382229","Inactive","EFFECTIVE CONTROL EXPIRED"
"BIHAR STATE WAREHOUSING CORPORATION","BSWC GARHWA","6628028","BSWC GARHWA, CAMPUS OF APMC, GARHWA","Garhwa","JHARKHAND","2908","10-Sep-2022","09-Sep-2027","7209374828","Active",""
"BIHAR STATE WAREHOUSING CORPORATION","BSWC DUMKA","6600936","BLOCK CAMPUS, SP COLLEGE ROAD DUMKA","Dumka","JHARKHAND","2851","14-Jul-2022","13-Jul-2027","9304382229","Inactive","EFFECTIVE CONTROL EXPIRED"
"BIHAR STATE WAREHOUSING CORPORATION","BSWC BOKARO","6607956","BAZAR SAMITI, ITI MORE, CHAS BOKARO, BSWC BOKARO","Bokaro","JHARKHAND","3900","29-Jul-2022","28-Jul-2027","8709512405","Inactive","EFFECTIVE CONTROL EXPIRED"
"BIHAR STATE WAREHOUSING CORPORATION","BSWC LOHARDAGA","6599492","BID, BAZARA SAMITTE, LOHARDAGA, LOHARDAGA","Lohardaga","JHARKHAND","2400","01-Jul-2022","30-Jun-2027","6202499614","Inactive","EFFECTIVE CONTROL EXPIRED"
"BIHAR STATE WAREHOUSING CORPORATION","BSWC SARAIKELLA","6605075","BAZAR SAMITI, BUNDU SARAIKELLA","Saraikela-Kharsawan","JHARKHAND","5000","21-Jul-2022","20-Jul-2027","8709821456","Inactive","EFFECTIVE CONTROL EXPIRED"
"BIHAR STATE WAREHOUSING CORPORATION","BSWC DALTONGANJ","6609309","BSWC DALTONGANJ, KRISHI UTPADAN BAJAR SAMITEE, DALTONGANJ","Dumka","JHARKHAND","2215","02-Aug-2022","01-Aug-2027","7209374828","Inactive","EFFECTIVE CONTROL EXPIRED"
"BIHAR STATE WAREHOUSING CORPORATION","BSWC CHATRA","6599948","APMCH, CHATRA, TAPEJ,, NEAR SBI BANK, BAZAR SAMITI","Chatra","JHARKHAND","6178","06-Jul-2022","05-Jul-2027","7634809680","Inactive","EFFECTIVE CONTROL EXPIRED"
