"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Alpine Agro Services","Alpine Agro Services","7049943","Rakh Shilvat Sumbal, Bandipora","Bandipore","JAMMU & KASHMIR","17500","26-Mar-2025","25-Mar-2030","9469174033","Active",""
"B D SECURITY PRIVATE LIMITED","PEG GODOWN","6844567","Mand Udhampur,","Udhampur","JAMMU & KASHMIR","5000","25-Jan-2024","24-Apr-2028","9419198270","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE DRASS","7012685","KARGIL NEAR THASGAM,","Kargil","JAMMU & KASHMIR","3340","27-Jan-2025","26-Jan-2030","6005018484","Active",""
"Charan Choudhary","PEG-Birpur","6788673","PEG Birpur (FCI),","Samba","JAMMU & KASHMIR","10000","06-Oct-2023","05-Oct-2028","9419190484","Active",""
"GLOBAL AGRI INFRA","GLOBAL AGRI INFRA","6799928","CHANN ARORIAN, VILLAGE TANDYARI","Kathua","JAMMU & KASHMIR","8000","03-Nov-2023","02-Nov-2028","9419142196","Active",""
"KEWAL GUPTA","PEG JATWAL","6718209","SAMBA,","Samba","JAMMU & KASHMIR","25000","19-May-2023","18-May-2028","9419185589","Active",""
"Masood Sheikh","PWS Doda","6794614","Ghat,","Doda","JAMMU & KASHMIR","5000","25-Oct-2023","24-Apr-2028","7006653202","Active",""
"Nirmal Parihar","5000 MT PEG Godown","6956528","Village Nagini,","Kishtwar","JAMMU & KASHMIR","5000","09-Jul-2024","08-Jul-2029","9419188429","Active",""
"Shamim Akhter","PEG RAJOURI","6787147","Potha, Rajouri","Rajouri","JAMMU & KASHMIR","8340","29-Sep-2023","28-Sep-2028","7006385424","Active",""
"sheikh Majeed","Sheikh Suppliers and Contractors","6683825","Chandpora, Kicker Morh","Badgam","JAMMU & KASHMIR","15000","17-Feb-2023","16-Feb-2028","9906566866","Active",""
