"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"10707 SIKKAL PACCS LTD","SIKKAL PACCS LTD","6578611","EAST STREET,SIKKAL POST, NAGAPATTINAM TALUK","Nagapattinam","TAMIL NADU","100","24-May-2022","23-May-2027","9442431462","Active",""
"349Alangudi PACCS","349 Alangudi PACCS Ltd.,","8771647","Perumal Kovil East Street, Alangudi","Thiruvarur","TAMIL NADU","100","28-Aug-2020","27-Aug-2025","9566914809","Active",""
"3594 KARIYAPATTINAM PACCS LTD","3594 kariyapattinam PACCS LTD","6718563","NADUKKADU, KARIYAPATTINAM","Nagapattinam","TAMIL NADU","100","21-May-2023","20-May-2028","6369675556","Active",""
"4787KAVERIPOOMPATTINAM PACCS LTD","4787KAVERIPOOMPATTINAM PACCS LTD","6670590","MAIN ROAD, BOOMBUHAR","Nagapattinam","TAMIL NADU","100","04-Jan-2023","03-Jan-2028","8144487722","Active",""
"A 1271 ODAIPATTI PACCS","A1271 ODAIPATTI PACCS","6551790","W-6/140 , NANDHAGOPAL KOVIL STREET, ODAIPATTI,","Theni","TAMIL NADU","100","08-Feb-2022","07-Feb-2027","9360271172","Active",""
"A 1358 BOMMAKOTTAI PACCS","A1358 BOMMAKOTTAI PACCS","6724868","BOMMAKOTTAI,","Virudhunagar","TAMIL NADU","100","30-May-2023","29-May-2028","9003494090","Active",""
"A 1759 SEEPALAKOTTAI PACCS","A1759 SEEPALAKOTTAI PACCS","6552780","MAIN ROAD, SEEPALAKOTTAI,","Theni","TAMIL NADU","100","17-Feb-2022","16-Feb-2027","9965704737","Active",""
"A 1872 ERASAKKANAYAKNAUR PACCS","A1872 erasakkanayakkanur paccs","6551972","W-1, DOOR NO 43, Bhagavathiamman kovil street Erasakkanayakkanur, bhagavathiamman kovil street erasakkanayakkanur","Theni","TAMIL NADU","100","13-Feb-2022","12-Feb-2027","8248037859","Active",""
"A 2938 KUTTUPATTY PACCS","A2938 KUTTUPATTY PACCS","6700561","N.KUTTUPATTY VILLAGE, N.KUTTUPATTY POST","Dindigul","TAMIL NADU","100","28-Mar-2023","27-Mar-2028","9751919290","Active",""
"A 425 KAMAYAGOUNDANPATTI PACCS","RIDF GODOWN KAMAYAGOUNDANPATTI PACCS","6551436","48/179D, WARD No.13, KARUMARIPURAM, CUMBUM ROAD, KAMAYAGOUNDANPATTI","Theni","TAMIL NADU","100","31-Jan-2022","30-Jan-2027","9976650350","Active",""
"A 915 Govindanagaram Co-operative Society","A915 GOVINDANAGARAM PACCS","5471652","THENI MAIN ROAD, GOVINDANAGARAM","Theni","TAMIL NADU","100","07-Jun-2021","06-Jun-2026","9486727916","Active",""
"A 967 KOMBAI PACCS","RIDF GODOWN A967 KOMBAI PACCS","6550719","W11/111, THEVARAM MAIN ROAD, KOMBAI","Theni","TAMIL NADU","100","20-Jan-2022","19-Jan-2027","9894615887","Active",""
"A A 202 Nichampalayam Primary Agricultural Co Opertive Society","Nichampalayam","7851067","Thingalore Rd, Nichampalayam","Erode","TAMIL NADU","200","01-Nov-2024","31-Oct-2029","9080756265","Active",""
"A A 202 Nichampalayam Primary Agricultural Co Opertive Society","Nichampalayam","6766711","Thingalore Rd,","Erode","TAMIL NADU","100","31-Jul-2023","30-Jul-2028","9080756265","Active",""
"A GANAVEL","ZB130SHETHIRAPALAPURAM PACCS","6562052","VANATHIRAJAPURAM,","Nagapattinam","TAMIL NADU","100","16-Mar-2022","15-Mar-2027","9865472522","Active",""
"A P Shanmugham","WIF-Avinashi Agricultural Producers Cooperative Marketing Society","6682116","Sevur, Avinashi","Tiruppur","TAMIL NADU","1000","15-Feb-2023","14-Feb-2028","9677689447","Active",""
"A P Shanmugham","Avinashi Agricultural Producers Cooperative Marketing Society","6683106","Cheyur, Avinashi","Tiruppur","TAMIL NADU","1000","15-Feb-2023","14-Feb-2028","9677689447","Active",""
"A.958 KETHAIYURAMBU PACCS","A958 KETHAIYURAMBU PACCS","6724322","KETHAIYURAMBU VILLAGE, KETHAIYURAMBU POST","Dindigul","TAMIL NADU","100","29-May-2023","28-Nov-2027","8220057212","Active",""
"A.A.300 BARGUR PACS","RIDF A.A.300 BARGUR PACS LTD","8591669","BARGUR, BARGUR","Erode","TAMIL NADU","100","03-Aug-2020","02-Aug-2025","9443279867","Active",""
"A1187 C.PUDUPATTY PACCS","A1187 C.Puthupatti PACCS","6560163","ward -6, Door No.88, Society street, C.PUDHUPATTI, CUMBUM","Theni","TAMIL NADU","100","03-Mar-2022","02-Mar-2027","8940007079","Active",""
"A1412 PORULUR PACCS","A1412 PORULUR PACS","6692644","PORULUR POST, KALLIMANTHAIYAM VIA","Dindigul","TAMIL NADU","100","07-Mar-2023","06-Mar-2028","8220057235","Active",""
"A1462 Tirumangalam APCMS","A1462 THIRUMANGALAM APCMS","3811640","No8,Karpagam nagar, Vidathakulam Road","Madurai","TAMIL NADU","1000","22-Mar-2021","21-Sep-2025","9942130353","Active",""
"A1757 KAMATCHIPURAM PACCS","A1757 KAMATCHIPURAM PACCS","6551709","W-1, DOOR NO 325, THENI MAIN ROAD, KAMATCHIPURAM, UTHAMAPALAYAM TALUK","Theni","TAMIL NADU","100","07-Feb-2022","06-Feb-2027","9994439050","Active",""
"A2105 THAMARAIPADI PACCS","A2105. THAMARAIPADI PACCS","2951647","THAMARAIPADI (POST),","Dindigul","TAMIL NADU","100","01-Mar-2021","28-Feb-2026","8220057113","Active",""
"A2152 KANAVOIPATTY PACCS","A 2152 KANAVOIPATTY PACCS","6755102","KANAVOIPATTY VILLAGE, KANAVOIPATTY POST","Dindigul","TAMIL NADU","100","12-Jul-2023","11-Jul-2028","9025713949","Active",""
"A2494 Saruguvalayapatti Paccs","A2494 Saruguvalayapatti Paccs","6562326","SARUGUVALAYAPATTI,","Madurai","TAMIL NADU","100","17-Mar-2022","16-Jun-2025","9943677029","Active",""
"A2931 SENDURAI","A2931 SENDURAI PACS","2331647","SENDURAI (POST),","Dindigul","TAMIL NADU","100","01-Feb-2021","31-Jan-2026","8220057136","Active",""
"A2963 KUNNUVARANKOTTAI PACCS","A2963 KUNNUVARANKOTTAI PACCS","6693188","KUNNUVARANKOTTAI VILLAGE, KUNNUVARANKOTTAI POST","Dindigul","TAMIL NADU","100","07-Mar-2023","06-Mar-2028","9843679494","Active",""
"A2966 LINGAVADI PACCS","A2966 LINGAVADI PACCS","6671499","LINGAVADI POST, NATHAM TALUK","Dindigul","TAMIL NADU","100","10-Jan-2023","09-Oct-2027","9751472866","Active",""
"A2986 VIRALIPATTI PACCS","A2986 VIRALIPATTY PACCS","6695795","VIRALIPATTI VILLAGE, VIRALIPATTI POST","Dindigul","TAMIL NADU","100","15-Mar-2023","14-Mar-2028","9842715870","Active",""
"A372 Kallampatti Paccs","A372kallampattipaccs","6562599","kallampatti,","Madurai","TAMIL NADU","100","21-Mar-2022","20-Jun-2025","9843538455","Active",""
"A655 ANJUKULIPATTY PACCS","A655 ANJUKULIPATTY PACCS","6745749","ANJUKULIPATTY VILLAGE, ANJUKULIPATTY POST","Dindigul","TAMIL NADU","100","27-Jun-2023","26-Jun-2028","9791234765","Active",""
