"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"ALUKA SUNITHA","ALUKA SUNITHA","6677793","3-4/2/12, NEKKONDA, WARANGAL, TELANGANA,","WARANGAL RURAL","TELANGANA","10000","27-Jan-2023","26-Jan-2028","9492114990","Active",""
"AMC MIRYALAGUDA","Godown No.3","6981724","SELECTION GRADE SECRETARY, AGRIL.MARKET COMMITTEE, MIRYALAGUDA","NALGONDA","TELANGANA","5000","30-Sep-2024","29-Sep-2029","7330733557","Inactive",""
"AMC Nizamabad","AMC,NIZAMABAD","7000268","Selection Grade Secretary, AMC Nizamabad","NIZAMABAD","TELANGANA","1000","03-Dec-2024","02-Dec-2029","7330733225","Active",""
"AMC, Warangal","Godown no.20","6806400","Selection Grade Secretary, AMC, Warangal","WARANGAL (URBAN)","TELANGANA","5000","24-Nov-2023","23-Nov-2028","7330733470","Active",""
"ANU RAGHAVA COLD STORAGE PRIVATE LIMITED","ANU RAGHAVA COLD STORAGE PRIVATE LIMITED","6858872","SURVEY NO -115/D, KONDAPURAM VILLAGE, KHAMMAM RURAL MADLAM","KHAMMAM","TELANGANA","9990","14-Feb-2024","13-Feb-2029","8500422422","Active",""
"ANUMANDLA SARITHA","Anumandla Saritha","6674824","3-4/2/6, NEKKONDA,","WARANGAL RURAL","TELANGANA","5000","18-Jan-2023","17-Jan-2028","9492114990","Active",""
"BHADRAKALI WAREHOUSING","BHADRAKALI WAREHOUSING","6800551","775/U AND 776, KAUKUNTLA VILLAGE AND MANDAL","MAHABUBNAGAR","TELANGANA","7997","07-Nov-2023","06-Nov-2028","7288801111","Active",""
"Bharathi Rekulapalli","Bharathi Warehouse","6901532","5-55/20,Godown No-20, Raghavapur","PEDDAPALLI","TELANGANA","10000","31-Mar-2024","30-Dec-2028","9849073576","Active",""
"Central Warehousing Corporation","CW Warangal","3170034","H.NO. 11-15-15, Laxmipuram, Narsarampet Road, Kashibugga, Warangal","WARANGAL (URBAN)","TELANGANA","11850","19-Jun-2023","18-Dec-2027","7707808777","Active",""
"Central Warehousing Corporation","CW Nizamabad","2850022","Central Warehouse, GurubhaAbhadhi, P.O. Subhash Nagar,Nizamabad","NIZAMABAD","TELANGANA","31000","30-May-2023","29-May-2028","9628655690","Active",""
"Central Warehousing Corporation","CW, WARANGAL - ENAMAMULA","6748263","AMC, Enumamula Market, Enumamula,","WARANGAL (URBAN)","TELANGANA","10500","30-Jun-2023","29-Jun-2028","7707808777","Active",""
"Central Warehousing Corporation","CW,KARIMNAGAR-!","3730030","Bhagathnagar,Godamgadda,Karimnagar,","KARIMNAGAR","TELANGANA","33900","26-May-2023","23-Jun-2028","9550476004","Active",""
"Central Warehousing Corporation","CW Chityal","3050015","Main Road Chityal,","NALGONDA","TELANGANA","8600","15-May-2023","14-May-2028","9849931524","Active",""
"Central Warehousing Corporation","CW,GADWAL","3770010","Ieeja Road,Gadwal,","JOGULAMBA","TELANGANA","24244","26-May-2023","24-Jun-2028","9440503854","Active",""
"Central Warehousing Corporation","RWC Sanathnagar","6989016","Moosapet Railway Goodshed, Sanathnagar","Hyderabad","TELANGANA","9382","23-Oct-2024","22-Oct-2029","8186845678","Active",""
"Central Warehousing Corporation","CW Mahabubnagar","3170023","Central Warehouse, New Mothinagar, Near Railway Station","MAHABUBNAGAR","TELANGANA","40000","17-Aug-2023","16-Feb-2028","9391549998","Active",""
"Central Warehousing Corporation","CW,KARIMNAGAR-!!","3730017","H.No:7-30/5,7-30/6,7-30/7,Main road,Garepally,","PEDDAPALLI","TELANGANA","30000","27-May-2023","23-Jun-2028","7206143790","Active",""
"Central Warehousing Corporation","CW Suryapet","2190012","Central Warehouse, Industrial Area, Suryapet Post, Suryapet Post","SURYAPET","TELANGANA","60000","24-Apr-2023","23-Apr-2028","8143100617","Active",""
"Central Warehousing Corporation","CW, BODHAN","6741870","GUNJ ROAD, BODHAN,","NIZAMABAD","TELANGANA","73505","22-Jun-2023","21-Jun-2028","9440427190","Active",""
"Central Warehousing Corporation","CW Jangaon","2270021","01-01-78/1, Grain Market Road, Jangaon","JANGOAN","TELANGANA","7590","21-May-2023","20-May-2028","8106287623","Active",""
"Central Warehousing Corporation","CW, ADILABAD","6723514","D.No. 4-5-13/5/1, Rampur Road, Adilabad,","ADILABAD","TELANGANA","35000","29-May-2023","28-May-2028","9182123732","Active",""
