"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Central Warehousing Corporation","CENTRAL WAREHOUSE JASPUR","3311648","JASPUR,","Udham Singh Nagar","UTTARAKHAND","15200","10-Mar-2021","09-Mar-2026","7311171246","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE KASHIPUR I","3331643","BAZPUR ROAD, KASHIPUR","Udham Singh Nagar","UTTARAKHAND","11530","10-Mar-2021","09-Mar-2026","7311171247","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE KHATIMA","3151646","NEW MANDI COMPLEX, PILIBHIT ROAD","Udham Singh Nagar","UTTARAKHAND","6700","08-Mar-2021","07-Mar-2026","8318416253","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE KASHIPUR II","3351649","NEW ANAJ MANDI, MORADABAD ROAD","Udham Singh Nagar","UTTARAKHAND","10000","10-Mar-2021","09-Mar-2026","7311171248","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE SRINAGAR","3311658","CENTRAL WAREHOUSE SRINAGAR, ANAND NIWAS NEAR GOVT. HOSPITAL PAURI ROAD SRINAGAR","Garhwal","UTTARAKHAND","7900","10-Mar-2021","09-Mar-2026","7311171250","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE BAZPUR","5571648","NEAR RAILWAY STATION BAZPUR, BAZPUR","Udham Singh Nagar","UTTARAKHAND","13860","18-Jun-2021","17-Jun-2026","7311171240","Active",""
"SHREE HARIHAR SEEDS","GODOWN NUMBER 03","7093958","KESHOGARH ROAD, BHAISIYA, SURAJPUR","Udham Singh Nagar","UTTARAKHAND","1800","26-May-2025","25-Nov-2026","9084044000","Active",""
"Uttarakhand State Warehousing Corporation","UKSWC ALMORA","6616775","Near Base Hospital, Khatyadi","Almora","UTTARAKHAND","5000","16-Aug-2022","15-Aug-2027","8006077779","Active",""
"Uttarakhand State Warehousing Corporation","UKSWC GULARBHOJ","6617310","Near PHC, Gularbhoj,","Udham Singh Nagar","UTTARAKHAND","3940","17-Aug-2022","16-Aug-2027","7417437648","Active",""
"Uttarakhand State Warehousing Corporation","UKSWC HARIDWAR","6767701","D 15/16 industrial area, Haridwar","Hardwar","UTTARAKHAND","5222","31-Jul-2023","30-Jul-2028","9927804210","Active",""
"Uttarakhand State Warehousing Corporation","UKSWC SITARGANJ","6614705","Amriya Road, Sitarganj","Udham Singh Nagar","UTTARAKHAND","8970","13-Aug-2022","12-Aug-2027","7017364729","Active",""
"Uttarakhand State Warehousing Corporation","UKSWC Gularghati","6648455","Gularghati, Dehradun","Dehradun","UTTARAKHAND","10240","31-Oct-2022","30-Oct-2027","8077801184","Active",""
"Uttarakhand State Warehousing Corporation","UKSWC KICHHA","6615421","Krashi utpadan mandi samiti, darau road kichha","Udham Singh Nagar","UTTARAKHAND","13111","13-Aug-2022","12-Aug-2027","7302207038","Active",""
