"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Central Warehousing Corporation","CENTRAL WAREHOUSE BERHAMPORE","7069743","BANJETIA, NEAR HATA COLONY,, PO- COSSIMBAZAR","Murshidabad","WEST BENGAL","31600","11-Apr-2025","10-Apr-2030","9475335853","Active",""
"Central Warehousing Corporation","Central Warehouse Panihati","7001258","Kishori Mohan Banerjee Road, P.O-Panihati","North Twenty Four Parganas","WEST BENGAL","34447","09-Dec-2024","08-Dec-2029","9804932931","Active",""
"Central Warehousing Corporation","Central Warehouse, Malda","6678429","Central Warehouse, Malda, NH-34, Narayanpur, (Near Silk Factory), Malda, PO - NARAYANPUR","Maldah","WEST BENGAL","18664","31-Jan-2023","30-Jan-2028","9614422667","Active",""
"Central Warehousing Corporation","Central Warehouse Uluberia","4631645","INDUSTRIAL GROWTH CENTRE, PO - BIRSHIBPUR, PS- ULUBERIA","Haora","WEST BENGAL","37590","30-Mar-2024","14-Apr-2029","8981828633","Active",""
"Central Warehousing Corporation","Central Warehouse C.K. Road","4551692","RANGAMATI, PO - DIGRI, PS - GARBETA,","Paschim Medinipur","WEST BENGAL","31600","25-Jun-2024","24-Jun-2029","7003787326","Active",""
"Central Warehousing Corporation","Central Warehouse Sarul","4271667","VILL - URA, PO-PURBA BARDHAMAN,","Barddhaman","WEST BENGAL","28620","21-Feb-2024","05-Apr-2029","8250610575","Active",""
"Central Warehousing Corporation","Central Warehouse Haldia","7034465","Near Port main Gate, Chiranjibpur,, Haldia Dock Complex","Purba Medinipur","WEST BENGAL","15000","07-Mar-2025","06-Mar-2030","9547262242","Active",""
"Central Warehousing Corporation","Central Warehouse Coochbehar","7047335","N.N. Road, Near Army Cantt., P.O.+Dist-Coochbehar","Koch Bihar","WEST BENGAL","7534","24-Mar-2025","23-Mar-2030","9563246715","Active",""
"Central Warehousing Corporation","Central Warehouse Raninagar","5391643","WBIIDC COMPLEX, RANINAGAR,PATKATA,","Jalpaiguri","WEST BENGAL","20000","14-Jun-2024","13-Jun-2029","9874295386","Active",""
"Central Warehousing Corporation","Central Warehouse Kharagpur","5851645","RAKHAJUNGLE, KHARAGPUR,","Paschim Medinipur","WEST BENGAL","21500","13-Nov-2024","12-Nov-2029","9434940799","Active",""
